n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
512,5,4,relu,128,3,2,relu,0.5,-0.29572523,1.081571,0.343012761,0.931858142,0.043616544,0.048723638,0.0671729,0.053171027,0.01239193,0.069051925,0.988499999,0.982249975,0.977999985,0.982916653,0.005281659,0.976147935
512,5,4,relu,128,3,2,tanh,0.5,-0.3325956,-0.98996997,0.324407862,0.077669679,0.048249532,0.042175513,0.045953285,0.045459443,0.003066975,0.04938993,0.983250022,0.986999989,0.984749973,0.984999995,0.001887444,0.982581137
512,7,2,relu,32,3,2,tanh,0.25,-0.12395461,-0.22864701,0.433994424,0.364437162,0.051935308,0.061818674,0.05254861,0.055434197,0.005537616,0.062530938,0.983500004,0.979499996,0.981000006,0.981333335,0.002020729,0.978743666
512,7,2,relu,32,3,4,tanh,0.5,-0.9474157,-0.34806326,0.094060431,0.303992179,0.050613485,0.055859685,0.059597585,0.055356918,0.004513102,0.061140692,0.983749986,0.98299998,0.980499983,0.98241665,0.001701715,0.980235814
512,7,2,relu,32,5,4,relu,0.5,-0.7914232,0.38245255,0.136636092,0.692475381,0.05308364,0.039994866,0.047796458,0.046958321,0.006584516,0.055396719,0.983250022,0.988749981,0.984499991,0.985499998,0.002883123,0.981805127
512,7,2,relu,128,3,2,tanh,0.25,-0.15238781,-0.22980282,0.418555034,0.363833065,0.066335738,0.067286588,0.058476985,0.064033104,0.00483517,0.070229623,0.981249988,0.979499996,0.981750011,0.980833332,0.001181458,0.979319232
512,7,2,relu,128,7,4,relu,0.5,-0.6635829,0.3343559,0.179766684,0.668557745,0.047807135,0.042700194,0.033869728,0.041459019,0.007051114,0.050495386,0.986750007,0.985249996,0.990999997,0.987666667,0.002982587,0.983844327
512,7,2,tanh,32,5,2,tanh,0.5,0.34840676,-0.29548436,0.687020336,0.33008501,0.06927342,0.057632763,0.062525712,0.063143965,0.005844904,0.070634511,0.978500009,0.981000006,0.979250014,0.979583343,0.001282898,0.977939243
512,7,2,tanh,128,3,4,relu,0.5,0.93981194,0.37441802,0.904682197,0.688531777,0.063738413,0.078877434,0.063264795,0.068626881,0.008880398,0.080007568,0.980750024,0.977999985,0.979749978,0.979499996,0.001391958,0.97771613
512,7,4,relu,8,7,2,relu,0.25,-0.08493897,0.5713018,0.455335441,0.778251255,0.062188692,0.058327273,0.053575996,0.058030654,0.004314003,0.063559271,0.979749978,0.980750024,0.982749999,0.981083334,0.001527532,0.979125723
512,7,4,relu,8,7,4,relu,0.5,-0.6170325,0.6395207,0.197329829,0.805594201,1.194651365,0.538290918,1.525324225,1.086088836,0.502392331,1.729930514,0.706250012,0.944500029,0.469500005,0.706750015,0.237500407,0.402380997
512,7,4,relu,128,3,4,relu,0.5,-0.97860456,0.8184361,0.086820322,0.867244797,0.07086733,0.090470977,0.076295793,0.079211367,0.010121817,0.092182997,0.978250027,0.973249972,0.978500009,0.976666669,0.002961585,0.972871245
512,7,4,relu,128,3,4,tanh,0.5,-1.0045501,-0.7054436,0.081105462,0.15530271,0.066528939,0.068490975,0.068198271,0.067739395,0.001058453,0.069095856,0.983749986,0.978999972,0.978250027,0.980333328,0.002982577,0.976511002
512,7,4,relu,128,7,4,tanh,0.5,-0.6977365,-0.5893488,0.16750848,0.19753958,0.042155869,0.037912618,0.043346822,0.041138436,0.0028564,0.04479906,0.988250017,0.986999989,0.986750007,0.987333338,0.000803647,0.986303423
512,7,4,tanh,32,5,2,relu,0.25,0.11307743,0.7387146,0.564281217,0.841596142,0.054088108,0.056880791,0.050693423,0.053887441,0.003098561,0.057858407,0.98575002,0.985000014,0.986999989,0.985916674,0.001010349,0.98462186
512,7,4,tanh,128,5,4,tanh,0.25,0.73391104,-0.96625495,0.846558093,0.082797964,0.047245447,0.047098644,0.049013551,0.047785881,0.001065724,0.049151662,0.986249983,0.984000027,0.983250022,0.984500011,0.001561227,0.982499218
2048,3,2,relu,32,3,2,relu,0.5,-0.3156924,0.09088078,0.332887547,0.538833372,0.04900489,0.061512712,0.05008268,0.053533427,0.006931244,0.062416174,0.985499978,0.983250022,0.985249996,0.984666665,0.0012332,0.983086256
2048,3,2,relu,128,3,2,tanh,0.25,-0.20183225,-0.07012457,0.392007991,0.449788435,0.071622252,0.063470133,0.060251214,0.065114533,0.005861157,0.072625908,0.977999985,0.98150003,0.979749978,0.979749998,0.001750023,0.977507254
2048,3,2,tanh,32,3,2,relu,0.25,0.16052042,0.07100423,0.589969829,0.527856209,0.079459473,0.082797229,0.064408928,0.07555521,0.009796165,0.088109501,0.978999972,0.980000019,0.981750011,0.980250001,0.001391958,0.978466135
