n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
536,5,4,tanh,22,3,2,relu,0.4998386,0.34941204,1.135821989,0.6875,0.9375,0.061200976,0.059867971,0.067140535,0.062736494,0.00387181,0.067698418,0.983749986,0.98150003,0.977999985,0.981083333,0.00289756,0.977369961
548,7,4,tanh,23,7,2,tanh,0.49920532,0.34941204,-0.625419548,0.6875,0.1875,0.055940948,0.05296893,0.045332633,0.051414171,0.00547239,0.05842732,0.983250022,0.980499983,0.983250022,0.982333342,0.001587736,0.980298577
549,5,2,tanh,19,3,2,relu,0.25000006,0.108424643,0.134323761,0.5625,0.5625,0.072246693,0.076182,0.064626485,0.071018393,0.005874864,0.078547334,0.976499975,0.976499975,0.977750003,0.976916651,0.000721704,0.97599175
552,4,2,relu,20,3,2,tanh,0.49997586,-0.361303703,-0.094533362,0.3125,0.4375,0.077999458,0.069530375,0.057262037,0.068263957,0.010426553,0.081626123,0.976499975,0.976499975,0.981999993,0.978333314,0.003175437,0.974263828
555,5,4,tanh,38,3,4,relu,0.5,1.109414483,0.665209947,0.9375,0.8125,0.132804185,0.123793334,0.11424315,0.123613556,0.009281823,0.135508692,0.961250007,0.963999987,0.968500018,0.964583337,0.003660039,0.959892808
560,6,4,relu,18,4,4,relu,0.2500015,-0.650932999,1.135821989,0.1875,0.9375,0.153427497,0.12075562,0.139445961,0.137876359,0.016392395,0.158884059,0.958500028,0.963999987,0.961499989,0.961333334,0.002753764,0.957804244
568,7,4,tanh,21,6,2,relu,0.25000328,0.108424643,0.665209947,0.5625,0.8125,0.061323162,0.066731095,0.053880852,0.060645036,0.006451905,0.068913486,0.98150003,0.980499983,0.984000027,0.982000013,0.001802794,0.97968964
583,7,4,relu,19,7,2,relu,0.4998285,-0.361303703,0.665209947,0.3125,0.8125,0.05362004,0.045961134,0.045045346,0.04820884,0.004708554,0.054243095,0.984000027,0.986500025,0.984250009,0.984916687,0.001376896,0.983152124
585,7,4,relu,27,7,4,tanh,0.47191945,-0.650932999,-0.625419548,0.1875,0.1875,0.055411868,0.071814403,0.05492096,0.060715744,0.009614855,0.073037675,0.985000014,0.979749978,0.984000027,0.982916673,0.002787645,0.979344162
596,4,4,relu,19,3,2,tanh,0.49992934,-0.361303703,-1.09603159,0.3125,0.0625,0.07733158,0.076446682,0.079055578,0.07761128,0.001326747,0.079311575,0.976750016,0.976999998,0.976750016,0.976833343,0.000144327,0.976648381
612,4,2,tanh,26,3,2,relu,0.49999666,0.34941204,0.134323761,0.6875,0.5625,0.067229368,0.06693922,0.056047432,0.06340534,0.006373786,0.071573676,0.980250001,0.978250027,0.977999985,0.978833338,0.00123322,0.977252903
620,7,4,relu,26,7,4,relu,0.49982926,-0.650932999,0.665209947,0.1875,0.8125,0.081375182,0.07335078,0.109840117,0.088188693,0.019175137,0.11276262,0.976999998,0.977500021,0.968500018,0.974333346,0.005057993,0.967851267
631,6,2,tanh,60,3,4,relu,0.25000054,1.109414483,0.134323761,0.9375,0.5625,0.069016568,0.08119902,0.064583331,0.07159964,0.008603748,0.082625786,0.981999993,0.975750029,0.981750011,0.979833344,0.003538463,0.975298622
634,3,2,tanh,22,3,2,tanh,0.25000015,0.108424643,-0.094533362,0.5625,0.4375,0.090169884,0.08352194,0.074701391,0.082797738,0.007759634,0.09274211,0.970000029,0.972000003,0.9745,0.972166677,0.002254611,0.969277277
690,7,2,tanh,24,7,2,relu,0.2500026,0.108424643,0.375433552,0.5625,0.6875,0.083387867,0.079508401,0.075928524,0.079608264,0.003730674,0.084389315,0.979499996,0.976249993,0.979499996,0.978416662,0.00187639,0.976011971
690,5,2,relu,20,3,2,relu,0.25000012,-0.120316306,0.134323761,0.4375,0.5625,0.065727107,0.059188474,0.044521812,0.056479131,0.010859169,0.070395715,0.980750024,0.979499996,0.984250009,0.98150001,0.002462218,0.978344551
694,5,2,relu,38,3,4,relu,0.4999751,-1.121306146,0.375433552,0.0625,0.6875,0.074498259,0.058825444,0.066685274,0.066669659,0.007836419,0.076712434,0.978999972,0.98150003,0.98150003,0.980666677,0.001443409,0.978816874
721,7,4,relu,23,6,2,tanh,0.4999897,-0.361303703,-0.625419548,0.3125,0.1875,0.045962494,0.047423061,0.037620723,0.043668759,0.005288419,0.05044614,0.986500025,0.985499978,0.986500025,0.986166676,0.000577377,0.985426737
740,7,2,relu,24,6,2,tanh,0.25000262,-0.120316306,-0.335643153,0.4375,0.3125,0.049312972,0.049885519,0.042032264,0.047076918,0.004378168,0.052687766,0.981999993,0.983250022,0.986000001,0.983750005,0.002046339,0.981127517
783,7,4,tanh,57,7,4,relu,0.4832049,0.639041336,0.665209947,0.8125,0.8125,0.078054592,0.065561228,0.059189014,0.067601611,0.009596868,0.079900493,0.982249975,0.980250001,0.982249975,0.981583317,0.001154686,0.980103528
795,7,2,tanh,34,6,2,tanh,0.4999992,0.34941204,-0.335643153,0.6875,0.3125,0.070969477,0.074745789,0.053676814,0.066464027,0.011233866,0.080860805,0.975250006,0.978500009,0.981000006,0.978250007,0.002883141,0.974555113
821,6,2,relu,37,3,4,tanh,0.25000003,-1.121306146,-0.094533362,0.0625,0.4375,0.054271918,0.056600694,0.050772261,0.053881624,0.002933752,0.057641379,0.983500004,0.980000019,0.983749986,0.98241667,0.00209661,0.979729756
861,7,4,relu,30,6,2,relu,0.25000438,-0.120316306,0.665209947,0.4375,0.8125,0.061961602,0.056345381,0.043391965,0.053899649,0.009523343,0.066104304,0.981750011,0.981750011,0.986500025,0.983333349,0.002742422,0.979818795
894,7,4,tanh,37,6,2,relu,0.4999725,0.34941204,0.665209947,0.6875,0.8125,0.055776808,0.052841574,0.042822842,0.050480408,0.006792101,0.059184836,0.984749973,0.982500017,0.987500012,0.984916667,0.002504162,0.981707454
910,5,4,relu,36,3,2,relu,0.25000432,-0.120316306,1.135821989,0.4375,0.9375,0.056090444,0.052175414,0.051016338,0.053094065,0.002658868,0.056501542,0.981000006,0.982749999,0.983250022,0.982333342,0.001181459,0.980819242
920,7,2,relu,28,6,2,relu,0.49999958,-0.361303703,0.375433552,0.3125,0.6875,0.053120267,0.048508912,0.043079548,0.048236242,0.00502591,0.054677205,0.984000027,0.985249996,0.987500012,0.985583345,0.001773644,0.983310328
933,7,2,tanh,34,6,2,tanh,0.25000823,0.108424643,-0.335643153,0.5625,0.3125,0.065403543,0.077762537,0.051171139,0.064779073,0.013306693,0.081832286,0.981000006,0.976000011,0.982500017,0.979833345,0.003403431,0.975471672
950,6,2,relu,41,3,4,relu,0.25,-1.121306146,0.134323761,0.0625,0.5625,0.050665203,0.059752457,0.044070888,0.051496183,0.007873741,0.061586788,0.985249996,0.979749978,0.984749973,0.983249982,0.003041386,0.979352289
978,7,2,relu,33,6,2,relu,0.25001633,-0.120316306,0.375433552,0.4375,0.6875,0.067218103,0.055681769,0.044225022,0.055708298,0.011496563,0.070441736,0.985499978,0.984499991,0.986000001,0.985333323,0.000763766,0.984354518
1032,7,4,tanh,43,6,2,tanh,0.25005862,0.108424643,-0.625419548,0.5625,0.1875,0.052174319,0.047492288,0.040583156,0.046749921,0.005831131,0.054222817,0.983749986,0.984499991,0.984499991,0.984249989,0.000433016,0.983695057
1050,7,2,relu,35,6,2,tanh,0.49999642,-0.361303703,-0.335643153,0.3125,0.3125,0.050370462,0.06376186,0.045298424,0.053143582,0.009538987,0.065368285,0.982249975,0.978250027,0.98724997,0.982583324,0.004509222,0.976804523
1171,7,2,tanh,58,7,2,relu,0.49999925,0.34941204,0.375433552,0.6875,0.6875,0.135901019,0.078130059,0.084648125,0.099559734,0.031640765,0.140109007,0.97874999,0.978250027,0.98150003,0.979500016,0.00175001,0.977257288
1181,4,4,tanh,57,3,2,tanh,0.25037754,0.108424643,-1.09603159,0.5625,0.0625,0.047048919,0.055012099,0.041867524,0.047976181,0.006621165,0.056461545,0.984749973,0.982500017,0.986000001,0.984416664,0.001773639,0.982143654
1195,6,2,tanh,178,3,4,tanh,0.25,1.109414483,-0.094533362,0.9375,0.4375,0.054209918,0.066253603,0.043098804,0.054520775,0.011580529,0.06936182,0.982749999,0.977999985,0.986000001,0.982249995,0.004023377,0.977093829
1896,5,4,tanh,384,3,4,tanh,0.3561953,1.109414483,-1.09603159,0.9375,0.0625,0.071229182,0.062001146,0.073046729,0.068759019,0.005922626,0.07634917,0.981000006,0.979749978,0.977999985,0.979583323,0.001506938,0.977652104
1909,5,4,relu,307,3,4,tanh,0.26665747,-1.121306146,-1.09603159,0.0625,0.0625,0.072462946,0.064386934,0.061246619,0.066032166,0.005786328,0.073447644,0.978999972,0.978999972,0.981000006,0.97966665,0.00115472,0.978186817
1969,5,4,relu,388,3,4,relu,0.31361324,-1.121306146,1.135821989,0.0625,0.9375,0.075177945,0.071334459,0.05786851,0.068126971,0.009089561,0.079775712,0.981000006,0.976000011,0.982749999,0.979916672,0.003502969,0.975427436
1978,6,4,tanh,439,3,4,relu,0.25000608,1.109414483,1.135821989,0.9375,0.9375,0.096875146,0.124941632,0.092224307,0.104680362,0.017700194,0.127364074,0.980499983,0.975000024,0.973999977,0.976499995,0.003499993,0.972014573
