n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
32,7,4,tanh,8,3,2,tanh,0.25,0.010486054,-0.8586379,0.507932653,0.10904538,0.147457927,0.136059329,0.131633997,0.138383751,0.00816403,0.148846377,0.957750022,0.961250007,0.963750005,0.960916678,0.003013848,0.957054276
32,7,2,tanh,8,5,2,tanh,0.25,0.016841669,-0.29252237,0.511440266,0.331580682,0.100947939,0.093840092,0.111476734,0.102088255,0.008873445,0.113460032,0.969500005,0.971750021,0.966499984,0.969250003,0.002633932,0.965874484
32,7,2,tanh,8,5,4,tanh,0.25,0.79702127,-0.13668658,0.866403772,0.413436141,0.14648591,0.12985462,0.124834679,0.13372507,0.011332662,0.148248461,0.95599997,0.963500023,0.962750018,0.960750004,0.004130707,0.955456289
128,7,4,relu,32,7,4,relu,0.25,-0.5871308,0.8701551,0.209125053,0.882326448,0.074550629,0.067025952,0.071559258,0.07104528,0.003788578,0.075900537,0.978999972,0.979749978,0.975499988,0.978083313,0.002268436,0.975176195
128,5,2,relu,32,3,2,relu,0.5,-0.3959515,0.15737553,0.293437313,0.575298044,0.063988909,0.054646626,0.065918021,0.061517852,0.006028323,0.069243459,0.979250014,0.978999972,0.982500017,0.980250001,0.001952578,0.977747672
128,7,2,relu,8,3,2,tanh,0.25,-0.064963505,-0.22556756,0.466313882,0.366048278,0.087549642,0.078437172,0.080846794,0.082277869,0.004721786,0.088329081,0.973749995,0.972500026,0.973999977,0.973416666,0.000803613,0.972386794
128,7,2,tanh,8,7,4,tanh,0.5,0.5501635,-0.32821205,0.778402172,0.313738959,0.139488891,0.131380096,0.116150312,0.129006433,0.011848967,0.144191496,0.962750018,0.963999987,0.967000008,0.964583338,0.002184222,0.961784144
128,7,4,relu,32,3,2,tanh,0.25,-0.10926469,-0.8705441,0.442011107,0.10589467,0.055951502,0.059582327,0.070367426,0.061967085,0.007498001,0.07157616,0.980750024,0.981000006,0.978500009,0.980083346,0.001376895,0.978318784
128,7,4,relu,8,5,4,relu,0.25,-0.5629021,1.0386708,0.218971914,0.923304703,0.425688833,0.341588497,0.324081987,0.363786439,0.054318959,0.433398985,0.907500029,0.919499993,0.930000007,0.91900001,0.011258319,0.904571894
128,3,4,relu,8,3,2,relu,0.25,-0.061913226,1.5403987,0.467992667,0.986340493,0.14195329,0.145616591,0.147740781,0.145103554,0.002927656,0.148855496,0.955250025,0.955250025,0.956749976,0.955750009,0.000865997,0.954640189
128,5,4,relu,8,5,4,tanh,0.5,-0.95405525,-0.5251898,0.092484828,0.223492525,0.358447611,0.46801725,0.404355317,0.410273393,0.055024033,0.480789528,0.943000019,0.91474998,0.944500029,0.934083343,0.016759973,0.912604573
128,3,4,tanh,32,3,2,tanh,0.5,0.30830258,-1.4939346,0.667102198,0.013186125,0.092654079,0.08532948,0.088828966,0.088937508,0.003663506,0.09363248,0.970499992,0.971000016,0.972249985,0.971249998,0.000901381,0.970094832
128,5,2,tanh,32,5,4,tanh,0.5,0.81133616,-0.34703034,0.870651803,0.30449609,0.073071964,0.071340956,0.072135851,0.072182924,0.000866464,0.073293341,0.975750029,0.976750016,0.976499975,0.97633334,0.000520403,0.975666417
128,5,4,tanh,32,3,2,tanh,0.5,0.33258086,-1.066274,0.679220789,0.06268317,0.066281199,0.067608833,0.060364075,0.064751369,0.00385706,0.069694391,0.978999972,0.979749978,0.981249988,0.979999979,0.001145652,0.978531767
128,5,4,relu,32,3,2,relu,0.25,-0.08582488,1.0597194,0.45484925,0.927591519,0.069078431,0.065294296,0.06799978,0.067457502,0.001949479,0.06995586,0.978500009,0.97874999,0.977750003,0.978333334,0.000520412,0.977666399
128,5,2,tanh,8,3,2,relu,0.5,0.40306783,0.14651838,0.713309067,0.569379058,0.10650292,0.104201287,0.098177508,0.102960572,0.004299146,0.108470148,0.965749979,0.96724999,0.971000016,0.967999995,0.002704182,0.964534446
512,5,4,relu,128,3,2,relu,0.5,-0.29572523,1.081571,0.343012761,0.931858142,0.043616544,0.048723638,0.0671729,0.053171027,0.01239193,0.069051925,0.988499999,0.982249975,0.977999985,0.982916653,0.005281659,0.976147935
512,5,4,relu,8,3,4,tanh,0.25,-0.71903336,-1.3345512,0.160135814,0.025908058,0.450973213,0.469873607,0.349030077,0.423292299,0.065003572,0.506597729,0.910250008,0.904500008,0.930000007,0.914916674,0.013375194,0.897775673
512,7,4,tanh,8,7,2,relu,0.25,0.07771325,0.6003741,0.544947469,0.790155821,0.071473077,0.076331593,0.068273857,0.072026176,0.004057242,0.077225741,0.980000019,0.976499975,0.977999985,0.97816666,0.001755965,0.9759163
512,3,4,tanh,32,3,4,relu,0.25,0.91403216,1.7269044,0.898433339,0.995258502,0.144561499,0.132095873,0.180316821,0.152324731,0.025030297,0.184402348,0.957499981,0.959249973,0.94749999,0.954749981,0.006339353,0.946625773
512,7,2,relu,128,3,2,tanh,0.5,-0.34348792,-0.23497935,0.318990055,0.36113153,0.057592619,0.068501607,0.072531983,0.066208736,0.007729107,0.076113985,0.983500004,0.981249988,0.979250014,0.981333335,0.002126221,0.978608474
512,5,4,relu,128,3,2,tanh,0.5,-0.3325956,-0.98996997,0.324407862,0.077669679,0.048249532,0.042175513,0.045953285,0.045459443,0.003066975,0.04938993,0.983250022,0.986999989,0.984749973,0.984999995,0.001887444,0.982581137
512,7,2,relu,8,7,4,tanh,0.5,-0.6039167,-0.33648798,0.202454606,0.309659653,0.071613692,0.063602507,0.074611172,0.069942457,0.005691436,0.077236326,0.978999972,0.980750024,0.980000019,0.979916672,0.000877998,0.978791472
512,5,2,tanh,128,5,4,relu,0.5,0.82144076,0.35764098,0.873594391,0.680228854,0.068952233,0.043572541,0.055141401,0.055888725,0.012706339,0.072172554,0.982500017,0.986999989,0.982749999,0.984083335,0.002528987,0.980842308
512,5,4,relu,32,3,4,tanh,0.25,-0.7697612,-1.3166628,0.143415578,0.027699984,0.102231137,0.092551991,0.112996228,0.102593119,0.010226924,0.115699449,0.970000029,0.975499988,0.968500018,0.971333345,0.003685538,0.966610137
512,3,2,tanh,32,3,4,relu,0.25,1.7113426,0.21920088,0.992789153,0.608648164,0.070361957,0.070539586,0.084929958,0.075277167,0.008360034,0.085990982,0.980000019,0.976000011,0.975499988,0.977166673,0.002466454,0.974005785
512,7,4,tanh,128,5,4,tanh,0.25,0.73391104,-0.96625495,0.846558093,0.082797964,0.047245447,0.047098644,0.049013551,0.047785881,0.001065724,0.049151662,0.986249983,0.984000027,0.983250022,0.984500011,0.001561227,0.982499218
512,7,4,relu,128,5,4,relu,0.5,-0.84830976,0.770688,0.119851858,0.852234946,0.056390632,0.054473888,0.068278581,0.059714367,0.007478489,0.069298436,0.984749973,0.98299998,0.97724998,0.981666644,0.00392375,0.976638157
512,3,2,relu,32,3,2,relu,0.25,-0.14237341,0.08089197,0.423980253,0.533320026,0.060500786,0.064007081,0.06574823,0.063418699,0.002672744,0.066843959,0.983749986,0.980250001,0.977500021,0.980500003,0.003132474,0.976485576
512,7,2,relu,32,5,2,tanh,0.25,-0.12401427,-0.31289977,0.433961916,0.321344989,0.04778019,0.044631127,0.049476635,0.047295984,0.002458776,0.050447032,0.983749986,0.983500004,0.982749999,0.98333333,0.000520412,0.982666395
512,5,4,tanh,128,3,2,tanh,0.25,0.11555375,-0.9932464,0.565629801,0.07697911,0.038166258,0.035938144,0.04849476,0.040866387,0.00669964,0.049452321,0.987500012,0.986999989,0.984499991,0.986333331,0.001607282,0.984273515
512,7,4,tanh,128,7,2,relu,0.5,0.33219635,0.60431767,0.679030289,0.791742022,0.087162502,0.063444898,0.081177205,0.077261535,0.012334121,0.093068347,0.973749995,0.983250022,0.981750011,0.979583343,0.005107198,0.973038206
512,3,2,relu,128,3,2,tanh,0.5,-0.32158136,-0.07553077,0.329923505,0.446816394,0.065184861,0.062286865,0.063356824,0.063609517,0.00146543,0.065487541,0.981750011,0.979749978,0.978500009,0.979999999,0.001639363,0.977899071
512,7,2,relu,8,5,4,tanh,0.25,-0.84607977,-0.123657405,0.120482217,0.420505187,0.087150194,0.091513,0.079777718,0.086146971,0.005931615,0.093748641,0.976750016,0.973500013,0.976000011,0.97541668,0.001701716,0.973235844
512,7,4,tanh,32,7,4,tanh,0.25,0.6062859,-0.8370372,0.800836858,0.114922389,0.055953287,0.074350059,0.066357546,0.065553631,0.009224696,0.077375554,0.983500004,0.978250027,0.977999985,0.979916672,0.003105774,0.975936463
512,7,4,relu,32,7,4,relu,0.25,-0.62313414,0.87122434,0.194971991,0.882625476,0.059693243,0.070094734,0.065838054,0.065208677,0.005229229,0.071910204,0.982249975,0.977750003,0.980000019,0.979999999,0.002249986,0.977116526
2048,7,4,relu,32,3,4,relu,0.25,-0.76550174,1.1830049,0.144773982,0.949337095,0.089430928,0.105838761,0.084396623,0.093222104,0.011212541,0.107591554,0.974250019,0.969500005,0.974250019,0.972666681,0.002742422,0.969152126
2048,5,4,tanh,512,5,2,tanh,0.25,0.1727135,-0.75270426,0.59651452,0.139886296,0.164141268,0.168367594,0.082773522,0.138427461,0.048244028,0.20025467,0.966250002,0.968999982,0.983749986,0.97299999,0.00941076,0.960939616
2048,3,4,tanh,512,3,4,tanh,0.25,1.2399873,-1.5923387,0.958376005,0.007750148,0.090478219,0.096601836,0.091729805,0.09293662,0.00323527,0.097082786,0.972500026,0.97025001,0.974749982,0.972500006,0.002249986,0.969616533
2048,7,2,tanh,512,3,4,tanh,0.5,0.9445271,-0.31196198,0.905794498,0.321813231,0.108392149,0.096176215,0.077874497,0.09414762,0.015359628,0.113831776,0.970000029,0.971750021,0.975750029,0.972500026,0.002947458,0.968722707
2048,5,2,tanh,512,3,2,relu,0.5,0.26965147,0.1977417,0.647450482,0.59714821,0.16764085,0.214230672,0.128977835,0.170283119,0.042687794,0.224989728,0.963999987,0.976249993,0.980499983,0.973583321,0.008567136,0.962604094
2048,7,2,relu,8,5,4,relu,0.5,-0.7928233,0.38997972,0.136205321,0.69615032,0.106756069,0.111337721,0.142629236,0.120241009,0.019523638,0.145261557,0.968500018,0.970000029,0.956749976,0.965083341,0.007255773,0.955784694
2048,7,2,relu,512,3,2,tanh,0.5,-0.28469825,-0.25072125,0.348652637,0.352958013,0.079748146,0.09369339,0.10476958,0.092737039,0.012538102,0.108805263,0.981249988,0.980499983,0.981000006,0.980916659,0.000381886,0.980427252
2048,5,2,relu,32,3,2,relu,0.25,-0.15445264,0.174677,0.41743827,0.584695307,0.068427831,0.056710541,0.068594962,0.064577778,0.00681374,0.073309937,0.98299998,0.98299998,0.979499996,0.981833319,0.002020717,0.979243666
2048,7,4,relu,128,3,2,tanh,0.5,-0.303942,-0.8464977,0.338832231,0.112322796,0.034798183,0.045967646,0.03650064,0.039088823,0.006017744,0.046800872,0.99000001,0.984250009,0.989499986,0.987916668,0.003185247,0.98383461
2048,5,4,tanh,128,5,2,tanh,0.5,0.26025152,-0.7748697,0.642608884,0.133010494,0.046218235,0.062944293,0.04701275,0.052058426,0.009435804,0.064150895,0.985000014,0.979749978,0.985249996,0.983333329,0.003105789,0.9793531
2048,3,2,relu,128,3,4,relu,0.5,-1.2826567,0.42950016,0.035573457,0.715121939,0.051808763,0.053041894,0.052249901,0.052366853,0.000624829,0.053167603,0.985249996,0.982749999,0.983749986,0.98391666,0.001258305,0.982304078
2048,7,2,tanh,8,5,2,relu,0.25,0.10617851,0.31018394,0.560520193,0.656270221,0.0814123,0.106720366,0.081291452,0.089808039,0.014646629,0.10857845,0.976999998,0.973249972,0.97724998,0.975833317,0.002240731,0.972961704
2048,7,4,tanh,32,7,4,tanh,0.5,0.68766654,-0.62114626,0.830853236,0.185358339,0.10046643,0.116864949,0.085703023,0.101011467,0.015588111,0.120988436,0.969749987,0.966250002,0.974749982,0.97024999,0.004271992,0.964775212
2048,5,4,relu,128,3,2,relu,0.5,-0.27009693,1.0568794,0.356171088,0.927023328,0.042439204,0.046175972,0.05172589,0.046780355,0.00467275,0.052768726,0.988749981,0.985000014,0.98299998,0.985583325,0.002919044,0.98184242
2048,5,2,relu,8,5,2,relu,0.25,-0.11599901,0.26781306,0.438332947,0.63434283,0.06794291,0.060164154,0.051087338,0.059731467,0.008436112,0.07054278,0.980000019,0.981000006,0.98299998,0.981333335,0.001527505,0.979375758
