n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
32,5,2,tanh,8,3,2,tanh,0.5,0.429128,-0.096372455,0.725465347,0.435387288,0.157300904,0.125832438,0.145235911,0.142789751,0.015876204,0.163135925,0.955500007,0.962750018,0.956499994,0.958250006,0.003929068,0.953214704
32,3,4,relu,8,3,4,relu,0.25,-0.5472528,1.8998185,0.225467632,0.999899848,0.731599391,0.747922301,0.696736574,0.725419422,0.026146485,0.758927491,0.82525003,0.821749985,0.839250028,0.828750014,0.009260145,0.81688266
32,7,4,relu,8,5,2,tanh,0.25,-0.058121573,-0.72748184,0.470080233,0.147985527,0.108435489,0.115311749,0.099210389,0.107652542,0.008079183,0.118006432,0.966499984,0.963249981,0.972000003,0.967249989,0.004422963,0.961581734
128,7,2,tanh,32,5,4,tanh,0.5,0.7515114,-0.3355883,0.852276613,0.310102022,0.066563055,0.064161964,0.065169148,0.065298056,0.001205725,0.066843254,0.978500009,0.979749978,0.980499983,0.979583323,0.001010349,0.978288509
128,5,2,relu,8,3,4,tanh,0.25,-1.152412,-0.16304344,0.053551931,0.399221497,0.162077487,0.167061612,0.167168841,0.16543598,0.002909034,0.169164058,0.955500007,0.953249991,0.95450002,0.954416673,0.001127321,0.952971952
128,7,4,relu,8,7,2,relu,0.5,-0.43370968,0.64877784,0.27564187,0.809144292,0.092379212,0.090051092,0.094964616,0.092464973,0.002457884,0.095614879,0.974749982,0.97299999,0.972500026,0.973416666,0.001181435,0.971902596
128,3,4,relu,32,3,2,relu,0.25,-0.0861473,1.5281887,0.454672315,0.985565635,0.082670592,0.077351317,0.077811249,0.079277719,0.002947299,0.083054835,0.973249972,0.976499975,0.976750016,0.975499988,0.001952577,0.972997659
128,5,2,tanh,8,3,4,tanh,0.5,1.0942839,-0.3932985,0.936431884,0.282289509,0.176208675,0.200273514,0.205537558,0.194006582,0.015636549,0.214045626,0.95599997,0.944999993,0.943000019,0.947999994,0.006999978,0.939029162
128,5,4,tanh,8,3,2,tanh,0.25,0.027064908,-1.0070392,0.51708026,0.074119272,0.113738239,0.120150678,0.119699501,0.117862806,0.003579096,0.122449602,0.969250023,0.964749992,0.96724999,0.967083335,0.00225464,0.964193898
128,5,4,relu,8,3,2,relu,0.5,-0.389599,1.1793373,0.296481602,0.948768733,0.121970177,0.122380741,0.134330511,0.126227143,0.007020724,0.135224563,0.96724999,0.96450001,0.96724999,0.96633333,0.001587702,0.964298608
128,7,2,relu,32,7,4,tanh,0.5,-0.60546947,-0.33555606,0.201843865,0.310117888,0.062258266,0.049135182,0.049632236,0.053675228,0.007437283,0.063206489,0.980499983,0.984749973,0.984499991,0.983249982,0.002384847,0.980193678
128,3,4,relu,8,3,4,relu,0.5,-1.6351606,0.77094346,0.008383794,0.852318045,1.016097307,0.94253844,0.907053411,0.955229719,0.05561874,1.026508003,0.782000005,0.792500019,0.809499979,0.794666668,0.013877425,0.776882032
128,5,4,relu,8,3,2,tanh,0.5,-0.4339702,-1.063738,0.275520907,0.06314536,0.129595369,0.131668672,0.114474483,0.125246175,0.009385982,0.137274794,0.965749979,0.962000012,0.971750021,0.966500004,0.004918086,0.960197223
128,5,4,relu,8,5,2,relu,0.5,-0.40285748,0.904511,0.290143942,0.891678561,0.107325755,0.072755389,0.097527668,0.092536271,0.017817494,0.115370308,0.96875,0.976999998,0.97025001,0.972000003,0.004394596,0.966368102
128,5,2,relu,8,5,4,relu,0.5,-0.86440086,0.44767708,0.11536951,0.723658056,0.111620292,0.128200322,0.119637407,0.11981934,0.008291512,0.130445341,0.966499984,0.96875,0.971000016,0.96875,0.002250016,0.965866488
128,7,2,relu,32,5,4,relu,0.5,-0.80115616,0.41075546,0.133659984,0.706192533,0.048933323,0.047868401,0.06067501,0.052492245,0.007106458,0.061599538,0.984749973,0.984250009,0.981000006,0.983333329,0.002036121,0.980723935
512,3,4,tanh,128,3,2,tanh,0.25,0.104194626,-1.428541,0.559437628,0.017750506,0.051908847,0.048170272,0.053640042,0.05123972,0.002795603,0.054822429,0.984000027,0.984000027,0.981249988,0.983083347,0.001587736,0.981048582
512,7,2,tanh,32,3,4,relu,0.5,0.9433081,0.38438323,0.905507838,0.693419806,0.063845791,0.089266345,0.08005897,0.077723702,0.012870169,0.094217487,0.980499983,0.969250023,0.977500021,0.975750009,0.005825573,0.968284236
512,3,4,tanh,128,3,4,tanh,0.25,0.9129108,-1.6664643,0.898155042,0.004601743,0.09634462,0.08046332,0.108980864,0.095262935,0.014289511,0.113575679,0.972750008,0.973500013,0.968500018,0.971583346,0.002696444,0.968127714
512,7,4,tanh,8,7,4,tanh,0.25,0.5624263,-0.8320956,0.783422566,0.116296187,0.193643287,0.223140717,0.211503923,0.209429309,0.014857746,0.228470276,0.962000012,0.957249999,0.959249973,0.959499995,0.002384856,0.956443678
512,3,4,tanh,32,3,2,relu,0.5,0.31965947,1.518884,0.672793633,0.984956751,0.067782149,0.064291701,0.070181727,0.067418526,0.002961801,0.071214227,0.980250001,0.979749978,0.979250014,0.979749998,0.000499994,0.97910923
512,7,2,relu,8,3,2,tanh,0.5,-0.4059204,-0.2101312,0.28868873,0.3741585,0.080731064,0.072430968,0.072140612,0.075100881,0.004878042,0.081352344,0.97299999,0.97724998,0.976249993,0.975499988,0.002222045,0.972652322
512,7,4,tanh,32,3,2,relu,0.5,0.34536952,0.9292922,0.685529774,0.898099719,0.055352785,0.055040624,0.047308829,0.052567413,0.004556741,0.058407111,0.982749999,0.983749986,0.984250009,0.983583331,0.000763766,0.982604526
512,5,2,tanh,8,5,2,relu,0.25,0.080082834,0.26059282,0.546246825,0.630560611,0.072493933,0.063265972,0.070970066,0.06890999,0.004946893,0.075249689,0.97724998,0.979250014,0.979250014,0.978583336,0.00115472,0.977103503
512,3,2,tanh,8,3,2,tanh,0.25,0.08643074,-0.06515655,0.549725178,0.452521997,0.130742401,0.104999363,0.125806198,0.120515987,0.013662567,0.138025272,0.962750018,0.970749974,0.961250007,0.964916666,0.005107163,0.958371573
512,7,4,tanh,8,3,4,tanh,0.25,0.6196519,-1.156945,0.805973141,0.047681872,0.306267202,0.328869224,0.324851304,0.31999591,0.012057943,0.335448786,0.935750008,0.936249971,0.9375,0.936499993,0.000901389,0.935344817
512,7,2,relu,128,5,2,tanh,0.5,-0.34569302,-0.32021493,0.317897782,0.317702002,0.057732627,0.059592467,0.065222211,0.060849102,0.00389972,0.065846794,0.984250009,0.981750011,0.981999993,0.982666671,0.001376896,0.980902108
